"S","ID","Age","CL_P_2","RL_P_2","T_P_2","CL_S_2","RL_S_2","T_S_2","CL_P_8","RL_P_8","T_P_8","CL_S_8","RL_S_8","T_S_8","k"
78,106,1,0.918729067826969,0.496415255929537,2.69002238011656,0.918729067826969,-0.0974028115618475,2.34107741278635,1.38279042377513,0.845360223259748,2.69002238011656,2.26770856821913,0.845360223259748,2.69002238011656,1.59321881802305
79,107,1,0.745689319074886,0.323375507177455,1.19029495169174,0.0371849421703294,-0.27044256031393,0.672320474507666,1.20975067502304,-0.27044256031393,0.947389948278701,1.20975067502304,-0.27044256031393,1.42017906927097,1.42017906927097
80,108,1,0.489459831957183,0.691160461160998,2.26075314424678,-0.219044544947374,-0.526672047431633,0.934065464574033,-0.219044544947374,0.691160461160998,1.91180817691657,0.489459831957183,0.691160461160998,1.63673870314553,1.16394958215326
81,109,1,0.210224690922411,0.496415255929537,2.34107741278635,0.210224690922411,-0.0974028115618475,2.69002238011656,0.210224690922411,0.845360223259748,1.82310293560228,0.918729067826969,-0.0974028115618475,2.69002238011656,1.59321881802305
82,110,1,-0.219044544947374,0.691160461160998,1.3938336997325,-0.219044544947374,0.0671460200597513,2.26075314424678,0.95352118790534,0.416090987389963,2.85457121173816,1.37437797640119,0.0671460200597513,2.26075314424678,1.16394958215326
83,111,0,1.20975067502304,0.672320474507666,3.11080069885587,0.0371849421703294,-0.27044256031393,2.51698263136448,2.09466881946705,1.42017906927097,2.51698263136448,1.20975067502304,0.672320474507666,3.11080069885587,1.42017906927097
84,113,1,0.517484896633719,0.957797408460876,2.41853492046654,0.0534235406855623,0.727913290881644,1.82471685297516,0.938341685129569,1.20070241187391,2.41853492046654,2.11090741798228,0.957797408460876,2.41853492046654,0.727913290881644
85,114,1,1.27099063777935,0.312703648768124,2.15736580562494,0.386072493335344,0.830678125952194,1.80842083829473,-0.322431883569213,0.312703648768124,1.29044636111066,1.27099063777935,0.312703648768124,2.75118387311632,1.06056224353143
86,115,1,0.607061815348519,0.533692970781299,1.51143568312383,1.07112317129668,0.184748003451087,2.37835512763811,1.49197995979253,0.184748003451087,2.0294101603079,1.49197995979253,1.2815515655446,2.0294101603079,1.2815515655446
87,116,1,0.450920508715275,0.143293006231016,1.83391463581591,1.62348624156799,0.737111073722401,2.30670375680818,1.15942488561983,1.60403051823668,2.93071819790943,1.15942488561983,1.08605604105261,2.93071819790943,1.83391463581591
88,117,1,0.489459831957183,0.0671460200597513,1.3938336997325,0.489459831957183,0.416090987389963,2.26075314424678,0.95352118790534,0.0671460200597513,1.91180817691657,1.37437797640119,0.416090987389963,2.26075314424678,1.16394958215326
89,118,1,0.450920508715275,0.143293006231016,2.58177323057922,0.450920508715275,0.143293006231016,2.58177323057922,0.450920508715275,0.737111073722401,2.30670375680818,2.508404386012,0.143293006231016,2.58177323057922,1.83391463581591
90,119,1,2.49697634555891,1.18974438921747,3.97716958089588,0.903553824210342,1.53868935654768,3.38335151340449,2.07611955706306,1.53868935654768,2.75933707230325,2.49697634555891,1.81375883031871,3.97716958089588,2.28654795131098
91,120,1,1.15942488561983,0.143293006231016,2.58177323057922,0.450920508715275,0.737111073722401,2.30670375680818,0.450920508715275,0.143293006231016,2.93071819790943,1.62348624156799,0.143293006231016,2.58177323057922,1.83391463581591
92,121,1,0.450920508715275,0.143293006231016,3.52453626540081,0.450920508715275,0.143293006231016,2.93071819790943,1.62348624156799,0.737111073722401,2.58177323057922,1.15942488561983,0.143293006231016,2.30670375680818,1.83391463581591
93,122,1,1.6120582011149,1.18974438921747,2.75933707230325,0.903553824210342,1.18974438921747,3.03440654607428,0.903553824210342,0.595926321726083,3.38335151340449,0.903553824210342,0.595926321726083,3.97716958089588,2.28654795131098
94,123,1,0.903553824210342,0.595926321726083,3.03440654607428,0.903553824210342,0.595926321726083,2.75933707230325,2.49697634555891,1.53868935654768,2.05666383373175,0.903553824210342,0.595926321726083,2.75933707230325,2.28654795131098
95,124,1,0.386072493335344,-0.630059386053472,2.75118387311632,0.386072493335344,-0.0362413185620873,1.53335136452369,-0.322431883569213,-0.630059386053472,1.29044636111066,0.386072493335344,-0.0362413185620873,1.53335136452369,1.06056224353143
96,125,1,0.903553824210342,1.53868935654768,3.38335151340449,0.903553824210342,0.595926321726083,3.38335151340449,1.6120582011149,1.18974438921747,3.38335151340449,1.6120582011149,1.53868935654768,3.03440654607428,2.28654795131098
97,126,1,0.745689319074886,0.323375507177455,2.51698263136448,0.745689319074886,0.323375507177455,2.16803766403427,1.20975067502304,0.323375507177455,2.16803766403427,1.63060746351889,0.947389948278701,1.89296819026324,1.42017906927097
98,127,1,0.0371849421703294,0.672320474507666,1.89296819026324,0.745689319074886,0.947389948278701,2.16803766403427,1.20975067502304,0.672320474507666,2.16803766403427,0.745689319074886,-0.27044256031393,3.11080069885587,1.42017906927097
